ID_run	Type
SRR5216801	M. bovis
SRR5216796	M. bovis
SRR5216786	M. bovis
SRR5216778	M. bovis
SRR5216776	M. bovis
SRR5216775	M. bovis
SRR5216770	M. bovis
SRR5216769	M. bovis
SRR5216764	M. bovis
SRR5216763	M. bovis
SRR5216758	M. bovis
SRR5216753	M. bovis
SRR5216752	M. bovis
SRR5216751	M. bovis
SRR5216749	M. bovis
SRR5216745	M. bovis
SRR5216742	M. bovis
SRR5216737	M. bovis
SRR5216735	M. bovis
SRR5216728	M. bovis
SRR5216726	M. bovis
SRR5216725	M. bovis
SRR5216723	M. bovis
SRR5216719	M. bovis
SRR5216720	M. bovis
SRR5216717	M. bovis
SRR5216715	M. bovis
SRR5216714	M. bovis
SRR5216711	M. bovis
SRR5216700	M. bovis
SRR5216693	M. bovis
SRR5216692	M. bovis
SRR1173570	M. bovis
ERR552138	M. bovis
ERR552470	M. bovis
ERR553337	M. bovis
ERR1200622	M. bovis
SRR6485027	M. bovis
SRR6855855	M. bovis
SRR6467885	M. bovis
SRR6467887	M. bovis
SRR6467889	M. bovis
SRR6467891	M. bovis
SRR6467893	M. bovis
ERR766227	M. bovis
SRR5486087	M. bovis
SRR5486089	M. bovis
SRR5486073	M. bovis
SRR5486074	M. bovis
SRR5486077	M. bovis
SRR5486079	M. bovis
SRR5486080	M. bovis
SRR5486084	M. bovis
SRR5486085	M. bovis
SRR5486086	M. bovis
SRR5486071	M. bovis
SRR6705904	M. bovis
SRR5657358	M. bovis
SRR5657360	M. bovis
SRR5657361	M. bovis
SRR5657363	M. bovis
SRR5657364	M. bovis
SRR5657368	M. bovis
SRR5657372	M. bovis
SRR5657373	M. bovis
SRR5657374	M. bovis
SRR5657375	M. bovis
SRR5657376	M. bovis
SRR5657379	M. bovis
SRR5657383	M. bovis
SRR5657390	M. bovis
SRR5657394	M. bovis
SRR5657396	M. bovis
SRR5657399	M. bovis
SRR5657400	M. bovis
SRR5657401	M. bovis
SRR5657402	M. bovis
SRR5657405	M. bovis
SRR5657408	M. bovis
SRR5657411	M. bovis
SRR5657413	M. bovis
SRR5657416	M. bovis
SRR5657418	M. bovis
SRR5657420	M. bovis
SRR5657422	M. bovis
SRR5657424	M. bovis
