ID_run	Type
SRR7851302	M. bovis
SRR7851303	M. bovis
SRR7851304	M. bovis
SRR7851305	M. bovis
SRR7851306	M. bovis
SRR7851308	M. bovis
SRR7851309	M. bovis
SRR7851310	M. bovis
SRR7851311	M. bovis
SRR7851313	M. bovis
SRR7851314	M. bovis
SRR7851315	M. bovis
SRR7851316	M. bovis
SRR7851317	M. bovis
SRR7851319	M. bovis
SRR7851320	M. bovis
SRR7851322	M. bovis
SRR7851323	M. bovis
SRR7851324	M. bovis
SRR7851325	M. bovis
SRR7851327	M. bovis
SRR7851328	M. bovis
SRR7851330	M. bovis
SRR7851332	M. bovis
SRR7851334	M. bovis
SRR7851336	M. bovis
SRR7851337	M. bovis
SRR7851338	M. bovis
SRR7851339	M. bovis
SRR7851340	M. bovis
SRR7851341	M. bovis
SRR7851346	M. bovis
SRR7851348	M. bovis
SRR7851349	M. bovis
SRR7851351	M. bovis
SRR7851352	M. bovis
SRR7851353	M. bovis
SRR7851354	M. bovis
SRR7851355	M. bovis
SRR7851356	M. bovis
SRR7851357	M. bovis
SRR7851359	M. bovis
SRR7851360	M. bovis
SRR7851361	M. bovis
SRR7851362	M. bovis
SRR7851363	M. bovis
SRR7851364	M. bovis
SRR7851365	M. bovis
SRR7851366	M. bovis
SRR7851367	M. bovis
SRR7851368	M. bovis
SRR7851369	M. bovis
SRR7851370	M. bovis
SRR7851372	M. bovis
SRR7851373	M. bovis
SRR7851374	M. bovis
SRR7851375	M. bovis
SRR7851376	M. bovis
SRR7851377	M. bovis
SRR7851378	M. bovis
SRR7851382	M. bovis
SRR8902557	M. bovis
ERR234151	M. bovis BCG
ERR161048	M. bovis BCG
ERR212052	M. bovis BCG
SRR1162747;SRR1166866	M. bovis BCG
ERR017778	M. bovis BCG
ERR019852	M. bovis BCG
SRR3647355	M. bovis BCG
SRR7496578	M. bovis BCG
ERR766213	M. bovis BCG
ERR766215	M. bovis BCG
ERR766216	M. bovis BCG
ERR766218	M. bovis BCG
ERR766219	M. bovis BCG
ERR766220	M. bovis BCG
ERR766221	M. bovis BCG
ERR766222	M. bovis BCG
ERR766223	M. bovis BCG
ERR766224	M. bovis BCG
ERR766225	M. bovis BCG
ERR766226	M. bovis BCG
ERR2815610	M. bovis BCG
ERR2815602	M. bovis BCG
SRR5485728	M. bovis BCG
SRR6930897	M. bovis BCG
SRR6046156	M. bovis BCG
SRR6045637	M. bovis BCG
SRR6046614	M. bovis BCG
SRR6046018	M. bovis BCG
SRR9596057	M. bovis BCG
SRR9596058	M. bovis BCG
SRR9596059	M. bovis BCG
SRR9596060	M. bovis BCG
SRR9596061	M. bovis BCG
SRR9596063	M. bovis BCG
SRR9596064	M. bovis BCG
SRR9596066	M. bovis BCG
SRR9596067	M. bovis BCG
SRR9596068	M. bovis BCG
SRR9596070	M. bovis BCG
SRR10321131	M. bovis BCG
SRR10321135	M. bovis BCG
SRR10321144	M. bovis BCG
SRR10321147	M. bovis BCG
SRR10321153	M. bovis BCG
SRR9593170	M. bovis BCG
SRR9593176	M. bovis BCG
SRR8234774	M. bovis BCG
SRR8234778	M. bovis BCG
SRR7983754	M. bovis BCG
SRR8102332	M. bovis BCG
